geneA	geneB	p-Value	Log Odds Ratio	Association
RBL2	JAK2	0.5725789113973	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT1	0.8797417664867191	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT2	0.798170111620611	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT3	0.7233921066415625	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT5A	0.8797417664867191	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT5B	0.8245801520783603	-Infinity	Tendency towards mutual exclusivity
CCNA1	CCNB1	0.9113082039916336	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDK1	0.7203594358619229	-Infinity	Tendency towards mutual exclusivity
CCNA1	CCNE1	0.6869141763397448	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDK2	0.8697397595988237	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDC25A	0.06946607220044386	1.799306674863438	Tendency towards co-occurrence
CCNA1	CCND1	0.38288183606405546	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDK4	0.38288183606405546	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDK6	0.7918038397680017	-Infinity	Tendency towards mutual exclusivity
CCNA1	CCND2	0.6549074226037497	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDKN2A	0.3040553156378485	0.4482225503778102	Tendency towards co-occurrence
CCNA1	CDKN2B	0.19703223515804316	-0.8885408189212527	Tendency towards mutual exclusivity
CCNA1	MYC	0.3464384634218755	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDKN1A	0.42283574334454854	-Infinity	Tendency towards mutual exclusivity
CCNA1	CDKN1B	0.8697397595988237	-Infinity	Tendency towards mutual exclusivity
CCNA1	E2F1	0.37571774464074076	0.8975985988620026	Tendency towards co-occurrence
CCNA1	E2F2	0.6242822553595021	-Infinity	Tendency towards mutual exclusivity
CCNA1	E2F3	0.6171181639364871	0.1119179162039854	Tendency towards co-occurrence
CCNA1	E2F4	0.8299277283494394	-Infinity	Tendency towards mutual exclusivity
CCNA1	E2F5	0.5401575022801262	-Infinity	Tendency towards mutual exclusivity
CCNA1	E2F6	0.08869179600887982	3.1245651453969594	Tendency towards co-occurrence
CCNA1	E2F7	0.09674559254419078	1.5686159179138452	Tendency towards co-occurrence
CCNA1	E2F8	0.5099718175362329	0.43671765161226883	Tendency towards co-occurrence
CCNA1	SRC	0.025688182980639407	2.507379505640059	Tendency towards co-occurrence(Significant)
CCNA1	JAK1	0.40501618983827053	0.7884573603642703	Tendency towards co-occurrence
CCNA1	JAK2	0.4442243218015892	-Infinity	Tendency towards mutual exclusivity
CCNA1	STAT1	0.8299277283494394	-Infinity	Tendency towards mutual exclusivity
CCNA1	STAT2	0.7203594358619229	-Infinity	Tendency towards mutual exclusivity
CCNA1	STAT3	0.37571774464074076	0.8975985988620026	Tendency towards co-occurrence
CCNA1	STAT5A	0.8299277283494394	-Infinity	Tendency towards mutual exclusivity
CCNA1	STAT5B	0.025688182980639407	2.507379505640059	Tendency towards co-occurrence(Significant)
CCNB1	CDK1	0.9517311956334135	-Infinity	Tendency towards mutual exclusivity
CCNB1	CCNE1	0.9449331156644524	-Infinity	Tendency towards mutual exclusivity
CCNB1	CDK2	0.9791671742895206	-Infinity	Tendency towards mutual exclusivity
CCNB1	CDC25A	0.9314100533611732	-Infinity	Tendency towards mutual exclusivity
CCNB1	CCND1	0.004629516824637107	Infinity	Tendency towards co-occurrence(Significant)
CCNB1	CDK4	0.8652566945247214	-Infinity	Tendency towards mutual exclusivity
CCNB1	CDK6	0.9654004532055943	-Infinity	Tendency towards mutual exclusivity
CCNB1	CCND2	0.06184059842597422	3.544575964507503	Tendency towards co-occurrence
CCNB1	CDKN2A	0.6782973124435613	0.2754119798599666	Tendency towards co-occurrence
CCNB1	CDKN2B	0.510245851709232	0.8556661100577203	Tendency towards co-occurrence
CCNB1	MYC	0.1476815867060416	2.531426665422893	Tendency towards co-occurrence
CCNB1	CDKN1A	0.12170756073189848	2.757773636454641	Tendency towards co-occurrence
CCNB1	CDKN1B	0.9791671742895206	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F1	0.9314100533611732	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F2	0.9314100533611732	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F3	0.13474330547504182	2.6390573296152584	Tendency towards co-occurrence
CCNB1	E2F4	0.9722716308079254	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F5	0.08869179600887982	3.1245651453969594	Tendency towards co-occurrence
CCNB1	E2F6	0.9860870836478056	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F7	0.9179844545701715	-Infinity	Tendency towards mutual exclusivity
CCNB1	E2F8	0.8980288004680407	-Infinity	Tendency towards mutual exclusivity
CCNB1	SRC	0.9585536414808948	-Infinity	Tendency towards mutual exclusivity
CCNB1	JAK1	0.924685071026182	-Infinity	Tendency towards mutual exclusivity
CCNB1	JAK2	0.1151531395433838	2.822122657362058	Tendency towards co-occurrence
CCNB1	STAT1	0.9722716308079254	-Infinity	Tendency towards mutual exclusivity
CCNB1	STAT2	0.9517311956334135	-Infinity	Tendency towards mutual exclusivity
CCNB1	STAT3	0.9314100533611732	-Infinity	Tendency towards mutual exclusivity
CCNB1	STAT5A	0.9722716308079254	-Infinity	Tendency towards mutual exclusivity
CCNB1	STAT5B	0.9585536414808948	-Infinity	Tendency towards mutual exclusivity
CDK1	CCNE1	0.8187112541989912	-Infinity	Tendency towards mutual exclusivity
CDK1	CDK2	0.9283553417054347	-Infinity	Tendency towards mutual exclusivity
CDK1	CDC25A	0.22192769694549663	1.6131347743154265	Tendency towards co-occurrence
CDK1	CCND1	0.5997734710246094	-Infinity	Tendency towards mutual exclusivity
CDK1	CDK4	0.400226528975992	0.8283219589281978	Tendency towards co-occurrence
CDK1	CDK6	0.8830764766845693	-Infinity	Tendency towards mutual exclusivity
CDK1	CCND2	0.2018298883795899	1.7346010553881064	Tendency towards co-occurrence
CDK1	CDKN2A	0.11756378520892904	-1.5476980192521645	Tendency towards mutual exclusivity
CDK1	CDKN2B	0.3271688481538533	-0.9614111671546247	Tendency towards mutual exclusivity
CDK1	MYC	0.09318696574904911	1.6486586255873816	Tendency towards co-occurrence
CDK1	CDKN1A	0.6323136069883155	-Infinity	Tendency towards mutual exclusivity
CDK1	CDKN1B	0.9283553417054347	-Infinity	Tendency towards mutual exclusivity
CDK1	E2F1	0.22192769694549663	1.6131347743154265	Tendency towards co-occurrence
CDK1	E2F2	0.778072303054322	-Infinity	Tendency towards mutual exclusivity
CDK1	E2F3	0.400226528975992	0.8283219589281978	Tendency towards co-occurrence
CDK1	E2F4	0.9054733438469561	-Infinity	Tendency towards mutual exclusivity
CDK1	E2F5	0.27964056413853006	1.3143208614948014	Tendency towards co-occurrence
CDK1	E2F6	0.9517311956338462	-Infinity	Tendency towards mutual exclusivity
CDK1	E2F7	0.2608252057390558	1.4050566375754137	Tendency towards co-occurrence
CDK1	E2F8	0.683957218440213	-Infinity	Tendency towards mutual exclusivity
CDK1	SRC	0.8611561386104688	-Infinity	Tendency towards mutual exclusivity
CDK1	JAK1	0.0013596895788518548	3.2386784521643803	Tendency towards co-occurrence(Significant)
CDK1	JAK2	0.3508567532820525	1.0116009116784799	Tendency towards co-occurrence
CDK1	STAT1	0.09452665615316608	2.733645748291174	Tendency towards co-occurrence
CDK1	STAT2	0.16029614953959276	2.02960916793196	Tendency towards co-occurrence
CDK1	STAT3	0.778072303054322	-Infinity	Tendency towards mutual exclusivity
CDK1	STAT5A	0.9054733438469561	-Infinity	Tendency towards mutual exclusivity
CDK1	STAT5B	0.8611561386104688	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDK2	0.9184086773301379	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDC25A	0.7502840065171432	-Infinity	Tendency towards mutual exclusivity
CCNE1	CCND1	0.4430674911918091	0.6703325027937739	Tendency towards co-occurrence
CCNE1	CDK4	0.5569325088080175	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDK6	0.8673072538865049	-Infinity	Tendency towards mutual exclusivity
CCNE1	CCND2	0.7725146437466677	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDKN2A	0.5189176190172814	-0.244021136335765	Tendency towards mutual exclusivity
CCNE1	CDKN2B	0.5522257126461044	-0.25642952894767645	Tendency towards mutual exclusivity
CCNE1	MYC	0.5239974107120572	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDKN1A	0.5916648751104931	-Infinity	Tendency towards mutual exclusivity
CCNE1	CDKN1B	0.9184086773301379	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F1	0.7502840065171432	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F2	0.7502840065171432	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F3	0.5569325088080175	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F4	0.8925380103626972	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F5	0.6869141763397448	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F6	0.9449331156648821	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F7	0.7074958745074649	-Infinity	Tendency towards mutual exclusivity
CCNE1	E2F8	0.6473166531669211	-Infinity	Tendency towards mutual exclusivity
CCNE1	SRC	0.8427027927834382	-Infinity	Tendency towards mutual exclusivity
CCNE1	JAK1	0.27138484565699234	1.3462161375524802	Tendency towards co-occurrence
CCNE1	JAK2	0.3902690218328231	0.8536551608826699	Tendency towards co-occurrence
CCNE1	STAT1	0.8925380103626972	-Infinity	Tendency towards mutual exclusivity
CCNE1	STAT2	0.8187112541989912	-Infinity	Tendency towards mutual exclusivity
CCNE1	STAT3	0.24971599348328827	1.455287232606842	Tendency towards co-occurrence
CCNE1	STAT5A	0.8925380103626972	-Infinity	Tendency towards mutual exclusivity
CCNE1	STAT5B	0.15729720721648308	2.0577800448986565	Tendency towards co-occurrence
CDK2	CDC25A	0.8987289988571495	-Infinity	Tendency towards mutual exclusivity
CDK2	CCND1	0.19546307351183637	1.9421436662598364	Tendency towards co-occurrence
CDK2	CDK4	0.013303769401323034	3.3862717314454795	Tendency towards co-occurrence(Significant)
CDK2	CDK6	0.9484636031489324	-Infinity	Tendency towards mutual exclusivity
CDK2	CCND2	0.9085333152078919	-Infinity	Tendency towards mutual exclusivity
CDK2	CDKN2A	0.1817337989353854	-Infinity	Tendency towards mutual exclusivity
CDK2	CDKN2B	0.3419686859994671	-Infinity	Tendency towards mutual exclusivity
CDK2	MYC	0.7865254129696011	-Infinity	Tendency towards mutual exclusivity
CDK2	CDKN1A	0.8228213378402817	-Infinity	Tendency towards mutual exclusivity
CDK2	CDKN1B	0.9688601514016653	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F1	0.8987289988571495	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F2	0.8987289988571495	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F3	0.8045369264879013	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F4	0.9586257131824244	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F5	0.8697397595988237	-Infinity	Tendency towards mutual exclusivity
CDK2	E2F6	0.9791671742895206	-Infinity	Tendency towards mutual exclusivity
